,dien_tich,phong_ngu,so_tang,mat_tien,noi_that,huong_nha,so_do,lat,long,gia,gia_m2,id_duong,ten_duong,do_rong_duong,id_phuong,ten_phuong
5016,102.0,6.0,6.0,4.5,Đầy đủ tiện nghi,,Sổ Đỏ chính chủ,20.9979326,105.8503243,25300.0,248.0392156862745,5e958eea208d0d6d7648fe31,Phố Bạch Mai,,5e5501cbeb80a7245175e143,Phường Bạch Mai
5017,148.0,4.801504451949647,4.776731098605334,,,,,21.014855,105.8504718,105000.0,709.4594594594595,5e958eea208d0d6d7648fdd9,Đường Bùi Thị Xuân,,5e5501cbeb80a7245175e137,Phường Bùi Thị Xuân
5018,174.4,4.801504451949647,4.776731098605334,7.3,,,,21.015765,105.85227,26160.0,150.0,5e958eea208d0d6d7648fe0b,Đường Phùng Khắc Khoan,,5e5501cbeb80a7245175e138,Phường Ngô Thì Nhậm
5019,100.0,6.0,6.0,,"Sang trọng, hiện đại, đáp ứng mọi nhu cầu sinh hoạt",,Sổ đỏ,20.999962,105.8616199,31000.0,310.0,5e958eea208d0d6d7648fdf0,Đường Kim Ngưu,,5e5501cbeb80a7245175e142,Phường Vĩnh Tuy
5020,150.0,4.801504451949647,10.5,8.0,Full cao cấp,,Sổ đỏ chính chủ,,,80000.0,533.3333333333334,5e958eea208d0d6d7648fe59,Phố Trần Xuân Soạn,,5e5501cbeb80a7245175e138,Phường Ngô Thì Nhậm
5022,120.0,4.801504451949647,4.776731098605334,5.0,,,Sổ đỏ chính chủ,20.9959104,105.8576533,30000.0,250.0,5e958eea208d0d6d7648fdf9,Đường Minh Khai,,5e5501cbeb80a7245175e146,Phường Minh Khai
5023,54.0,3.0,4.0,,,,Sổ đỏ chính chủ,,,,,5e958eea208d0d6d7648fe57,Phố Thịnh Yên,,,
5024,35.0,4.801504451949647,4.0,4.0,,KXĐ,,21.0115971,105.8533051,4850.0,138.57142857142858,,,3.5,5e5501cbeb80a7245175e146,Phường Minh Khai
5025,150.0,2.0,4.776731098605334,,,,Sổ đỏ,21.0115168,105.8533481,32500.0,216.66666666666663,5e958eea208d0d6d7648fe4d,Phố Phố Huế,,5e5501cbeb80a7245175e13b,Phường Phố Huế
5026,108.8,4.801504451949647,4.776731098605334,5.5,"Nhà cũ nên chỉ tính đất Nhà mới 7 tầng thang máy, full nội thất",,Sổ đỏ chính chủ Giấy phép xây dựng đầy đủ,20.9963826,105.8619728,23980.0,220.40441176470588,5e958eea208d0d6d7648fdf0,Đường Kim Ngưu,,5e5501cbeb80a7245175e143,Phường Bạch Mai
